Year,Total Population (Thousands),Births (Thousands),Birth Rate (per 1000)
1980,4444007,122353,27.532
1981,4522748,124235,27.470
1982,4603673,127394,27.674
1983,4685375,127494,27.211
1984,4767425,128540,26.963
1985,4851230,130132,26.825
1986,4937746,132279,26.791
1987,5026610,134106,26.678
1988,5115859,134706,26.332
1989,5204481,135118,25.962
1990,5293237,135544,25.607
1991,5381313,134005,24.902
1992,5467406,133642,24.444
1993,5552319,131668,23.714
1994,5636046,131558,23.342
1995,5719001,131238,22.948
1996,5801322,130456,22.487
1997,5882897,130107,22.116
1998,5963953,130239,21.838
1999,6044390,130571,21.602
2000,6124123,130985,21.388
2001,6203102,130931,21.107
2002,6281747,130386,20.756
2003,6360405,130541,20.524
2004,6439493,131368,20.400
2005,6519198,131901,20.233
2006,6599815,133596,20.242
2007,6681283,135272,20.246
2008,6763483,136369,20.163
2009,6846150,136306,19.910
2010,6928921,136154,19.650
2011,7011925,136015,19.398
2012,7095400,137050,19.315
2013,7179069,136827,19.059
2014,7262451,137119,18.881
2015,7345137,136544,18.590
2016,7426597,136357,18.361
2017,7506374,135323,18.028
2018,7583648,134114,17.685
2019,7658532,132890,17.352
2020,7731517,130321,16.856
2021,7801825,129202,16.560
2022,7868752,129384,16.443
2023,7934426,129208,16.284
2024,7999120,129050,16.133